path,wave,loc_estimate
hbsd/src/lib/msun/src/s_llround.c,wave2,8
hbsd/src/lib/msun/src/s_llroundf.c,wave2,8
hbsd/src/lib/msun/src/s_llroundl.c,wave2,8
hbsd/src/lib/msun/src/s_log1p.c,wave2,176
hbsd/src/lib/msun/src/s_log1pf.c,wave2,112
hbsd/src/lib/msun/src/s_logb.c,wave2,45
hbsd/src/lib/msun/src/s_logbf.c,wave2,37
hbsd/src/lib/msun/src/s_logbl.c,wave2,50
hbsd/src/lib/msun/src/s_lrint.c,wave2,58
hbsd/src/lib/msun/src/s_lrintf.c,wave2,6
hbsd/src/lib/msun/src/s_lrintl.c,wave2,6
hbsd/src/lib/msun/src/s_lround.c,wave2,68
hbsd/src/lib/msun/src/s_lroundf.c,wave2,8
hbsd/src/lib/msun/src/s_lroundl.c,wave2,8
hbsd/src/lib/msun/src/s_modf.c,wave2,74
hbsd/src/lib/msun/src/s_modff.c,wave2,54
hbsd/src/lib/msun/src/s_modfl.c,wave2,101
hbsd/src/lib/msun/src/s_nan.c,wave2,111
hbsd/src/lib/msun/src/s_nearbyint.c,wave2,58
hbsd/src/lib/msun/src/s_nextafter.c,wave2,79
hbsd/src/lib/msun/src/s_nextafterf.c,wave2,63
hbsd/src/lib/msun/src/s_nextafterl.c,wave2,76
hbsd/src/lib/msun/src/s_nexttoward.c,wave2,68
hbsd/src/lib/msun/src/s_nexttowardf.c,wave2,56
hbsd/src/lib/msun/src/s_remquo.c,wave2,149
hbsd/src/lib/msun/src/s_remquof.c,wave2,120
hbsd/src/lib/msun/src/s_remquol.c,wave2,169
hbsd/src/lib/msun/src/s_rint.c,wave2,88
hbsd/src/lib/msun/src/s_rintf.c,wave2,50
hbsd/src/lib/msun/src/s_rintl.c,wave2,89
hbsd/src/lib/msun/src/s_round.c,wave2,59
hbsd/src/lib/msun/src/s_roundf.c,wave2,53
hbsd/src/lib/msun/src/s_roundl.c,wave2,61
hbsd/src/lib/msun/src/s_rsqrt.c,wave2,153
hbsd/src/lib/msun/src/s_rsqrtf.c,wave2,162
hbsd/src/lib/msun/src/s_rsqrtl.c,wave2,201
hbsd/src/lib/msun/src/s_scalbln.c,wave2,53
hbsd/src/lib/msun/src/s_scalbn.c,wave2,47
hbsd/src/lib/msun/src/s_scalbnf.c,wave2,41
hbsd/src/lib/msun/src/s_scalbnl.c,wave2,49
hbsd/src/lib/msun/src/s_signbit.c,wave2,58
hbsd/src/lib/msun/src/s_signgam.c,wave2,3
hbsd/src/lib/msun/src/s_significand.c,wave2,25
hbsd/src/lib/msun/src/s_significandf.c,wave2,23
hbsd/src/lib/msun/src/s_sin.c,wave2,85
hbsd/src/lib/msun/src/s_sincos.c,wave2,77
hbsd/src/lib/msun/src/s_sincosf.c,wave2,123
hbsd/src/lib/msun/src/s_sincosl.c,wave2,101
hbsd/src/lib/msun/src/s_sinf.c,wave2,82
hbsd/src/lib/msun/src/s_sinl.c,wave2,92
hbsd/src/lib/msun/src/s_sinpi.c,wave2,161
hbsd/src/lib/msun/src/s_sinpif.c,wave2,118
hbsd/src/lib/msun/src/s_tan.c,wave2,79
hbsd/src/lib/msun/src/s_tanf.c,wave2,69
