batch_id,path,dir,lines,status,clone_of
b1450,hbsd/src/sys/netinet/igmp.c,sys/netinet,3733,DEFERRED,
b1450,hbsd/src/sys/netinet/sctp_asconf.c,sys/netinet,3473,DEFERRED,
b1450,hbsd/src/sys/netinet/tcp_input.c,sys/netinet,4200,DEFERRED,
b1451,hbsd/src/sys/netinet/tcp_subr.c,sys/netinet,5048,DEFERRED,
b1451,hbsd/src/sys/netinet/sctp_indata.c,sys/netinet,5731,DEFERRED,
b1451,hbsd/src/sys/netinet/sctp_input.c,sys/netinet,5858,DEFERRED,
b1451,hbsd/src/sys/netinet/sctp_pcb.c,sys/netinet,6987,DEFERRED,
b1452,hbsd/src/sys/netinet/cc/cc_hd.c,sys/netinet/cc,260,DEFERRED,
b1452,hbsd/src/sys/netinet/cc/cc_vegas.c,sys/netinet/cc,313,DEFERRED,
b1452,hbsd/src/sys/netinet/cc/cc_dctcp.c,sys/netinet/cc,494,PENDING,
b1452,hbsd/src/sys/netinet/cc/cc_chd.c,sys/netinet/cc,509,DEFERRED,
b1453,hbsd/src/sys/netinet/tcp_stacks/tailq_hash.c,sys/netinet/tcp_stacks,360,DEFERRED,
b1453,hbsd/src/sys/netinet/tcp_stacks/rack_pcm.c,sys/netinet/tcp_stacks,329,PENDING,
b1453,hbsd/src/sys/netinet/tcp_stacks/sack_filter.c,sys/netinet/tcp_stacks,926,PENDING,
b1453,hbsd/src/sys/netinet/tcp_stacks/rack_bbr_common.c,sys/netinet/tcp_stacks,959,DEFERRED,
b1454,hbsd/src/sys/netinet/cc/cc_htcp.c,sys/netinet/cc,543,PENDING,
b1454,hbsd/src/sys/netinet/cc/cc_newreno.c,sys/netinet/cc,602,PENDING,
b1454,hbsd/src/sys/netinet/cc/cc.c,sys/netinet/cc,753,DEFERRED,
b1454,hbsd/src/sys/netinet/cc/cc_cubic.c,sys/netinet/cc,726,PENDING,
b1455,hbsd/src/sys/netinet/sctputil.c,sys/netinet,7699,DEFERRED,
b1455,hbsd/src/sys/netinet/sctp_usrreq.c,sys/netinet,7540,DEFERRED,
b1455,hbsd/src/sys/netinet/sctp_output.c,sys/netinet,13928,DEFERRED,
b1456,hbsd/src/sys/netinet/cc/cc_cdg.c,sys/netinet/cc,728,DEFERRED,
b1457,hbsd/src/usr.bin/netstat/sctp.c,usr.bin/netstat,841,DEFERRED,
b1457,hbsd/src/usr.bin/netstat/inet6.c,usr.bin/netstat,1359,PENDING,
b1457,hbsd/src/usr.bin/netstat/inet.c,usr.bin/netstat,1563,PENDING,
b1458,hbsd/src/sys/netinet6/raw_ip6.c,sys/netinet6,876,PENDING,
b1458,hbsd/src/sys/netinet6/in6_ifattach.c,sys/netinet6,959,DEFERRED,
b1458,hbsd/src/sys/netinet6/sctp6_usrreq.c,sys/netinet6,1123,DEFERRED,
b1458,hbsd/src/sys/netinet6/frag6.c,sys/netinet6,1112,DEFERRED,
b1459,hbsd/src/sys/netinet/tcp_stacks/bbr.c,sys/netinet/tcp_stacks,14824,DEFERRED,
b1459,hbsd/src/sys/netinet/tcp_stacks/rack.c,sys/netinet/tcp_stacks,24673,DEFERRED,
b1460,hbsd/src/usr.bin/systat/netstat.c,usr.bin/systat,632,DEFERRED,
b1460,hbsd/src/usr.bin/systat/vmstat.c,usr.bin/systat,817,PENDING,
b1461,hbsd/src/sys/netinet6/in6_src.c,sys/netinet6,1144,DEFERRED,
b1461,hbsd/src/sys/netinet6/udp6_usrreq.c,sys/netinet6,1311,DEFERRED,
b1461,hbsd/src/sys/netinet6/in6_pcb.c,sys/netinet6,1306,PENDING,
b1461,hbsd/src/sys/netinet6/nd6_nbr.c,sys/netinet6,1633,DEFERRED,
b1462,hbsd/src/usr.sbin/lpr/pac/pac.c,usr.sbin/lpr/pac,435,PENDING,
b1463,hbsd/src/usr.sbin/inetd/builtins.c,usr.sbin/inetd,819,PENDING,
b1463,hbsd/src/usr.sbin/inetd/inetd.c,usr.sbin/inetd,2564,DEFERRED,
b1464,hbsd/src/sys/netinet6/ip6_input.c,sys/netinet6,1763,DEFERRED,
b1464,hbsd/src/sys/netinet6/ip6_mroute.c,sys/netinet6,2143,DEFERRED,
b1464,hbsd/src/sys/netinet6/nd6_rtr.c,sys/netinet6,2625,DEFERRED,
b1464,hbsd/src/sys/netinet6/nd6.c,sys/netinet6,2737,DEFERRED,
b1465,hbsd/src/usr.sbin/mld6query/mld6.c,usr.sbin/mld6query,347,PENDING,
b1466,hbsd/src/usr.sbin/nfscbd/nfscbd.c,usr.sbin/nfscbd,371,PENDING,
b1467,hbsd/src/usr.sbin/rrenumd/rrenumd.c,usr.sbin/rrenumd,659,PENDING,
b1468,hbsd/src/usr.sbin/mtest/mtest.c,usr.sbin/mtest,851,PENDING,
b1469,hbsd/src/usr.sbin/nfsuserd/nfsuserd.c,usr.sbin/nfsuserd,918,PENDING,
b1470,hbsd/src/usr.sbin/powerd/powerd.c,usr.sbin/powerd,933,PENDING,
b1471,hbsd/src/usr.sbin/rpcbind/rpcb_svc.c,usr.sbin/rpcbind,233,PENDING,
b1471,hbsd/src/usr.sbin/rpcbind/pmap_svc.c,usr.sbin/rpcbind,360,PENDING,
b1471,hbsd/src/usr.sbin/rpcbind/util.c,usr.sbin/rpcbind,418,PENDING,
b1471,hbsd/src/usr.sbin/rpcbind/rpcb_svc_4.c,usr.sbin/rpcbind,452,PENDING,
b1472,hbsd/src/usr.sbin/ppp/link.c,usr.sbin/ppp,412,SKIPPED,
b1472,hbsd/src/usr.sbin/ppp/server.c,usr.sbin/ppp,422,SKIPPED,
b1472,hbsd/src/usr.sbin/ppp/log.c,usr.sbin/ppp,532,SKIPPED,
b1472,hbsd/src/usr.sbin/ppp/systems.c,usr.sbin/ppp,483,PENDING,
b1473,hbsd/src/usr.sbin/iscsid/discovery.c,usr.sbin/iscsid,171,PENDING,
b1473,hbsd/src/usr.sbin/iscsid/iscsid.c,usr.sbin/iscsid,806,PENDING,
b1473,hbsd/src/usr.sbin/iscsid/login.c,usr.sbin/iscsid,898,PENDING,
b1474,hbsd/src/usr.sbin/traceroute/traceroute.c,usr.sbin/traceroute,2095,PENDING,
b1475,hbsd/src/usr.sbin/virtual_oss/virtual_oss/eq.c,usr.sbin/virtual_oss/virtual_oss,226,PENDING,
b1475,hbsd/src/usr.sbin/virtual_oss/virtual_oss/format.c,usr.sbin/virtual_oss/virtual_oss,429,DEFERRED,
b1475,hbsd/src/usr.sbin/virtual_oss/virtual_oss/ctl.c,usr.sbin/virtual_oss/virtual_oss,615,DEFERRED,
b1475,hbsd/src/usr.sbin/virtual_oss/virtual_oss/httpd.c,usr.sbin/virtual_oss/virtual_oss,846,DEFERRED,
b1476,hbsd/src/usr.sbin/rtadvd/control.c,usr.sbin/rtadvd,492,PENDING,
b1476,hbsd/src/usr.sbin/rtadvd/rrenum.c,usr.sbin/rtadvd,501,DEFERRED,
b1476,hbsd/src/usr.sbin/rtadvd/control_server.c,usr.sbin/rtadvd,752,DEFERRED,
b1476,hbsd/src/usr.sbin/rtadvd/if.c,usr.sbin/rtadvd,769,DEFERRED,
b1477,hbsd/src/usr.sbin/lpr/lpd/modes.c,usr.sbin/lpr/lpd,225,PENDING,
b1477,hbsd/src/usr.sbin/lpr/lpd/recvjob.c,usr.sbin/lpr/lpd,480,PENDING,
b1477,hbsd/src/usr.sbin/lpr/lpd/lpdchar.c,usr.sbin/lpr/lpd,1062,DEFERRED,
b1477,hbsd/src/usr.sbin/lpr/lpd/lpd.c,usr.sbin/lpr/lpd,929,PENDING,
b1478,hbsd/src/usr.sbin/pw/pw_conf.c,usr.sbin/pw,554,PENDING,
b1478,hbsd/src/usr.sbin/pw/pw_group.c,usr.sbin/pw,728,PENDING,
b1478,hbsd/src/usr.sbin/pw/pw_user.c,usr.sbin/pw,1865,PENDING,
b1479,hbsd/src/usr.sbin/mountd/mountd.c,usr.sbin/mountd,4138,DEFERRED,
b1480,hbsd/src/usr.sbin/syslogd/syslogd_cap.c,usr.sbin/syslogd,60,PENDING,
b1480,hbsd/src/usr.sbin/syslogd/syslogd_cap_log.c,usr.sbin/syslogd,193,DEFERRED,
b1480,hbsd/src/usr.sbin/syslogd/syslogd_cap_config.c,usr.sbin/syslogd,323,DEFERRED,
b1480,hbsd/src/usr.sbin/syslogd/syslogd.c,usr.sbin/syslogd,3933,DEFERRED,
b1481,hbsd/src/usr.sbin/ppp/physical.c,usr.sbin/ppp,1124,PENDING,
b1481,hbsd/src/usr.sbin/ppp/ip.c,usr.sbin/ppp,995,PENDING,
b1481,hbsd/src/usr.sbin/ppp/fsm.c,usr.sbin/ppp,1213,PENDING,
b1481,hbsd/src/usr.sbin/ppp/mp.c,usr.sbin/ppp,1209,PENDING,
b1482,hbsd/src/sys/netinet6/in6.c,sys/netinet6,2780,DEFERRED,
b1482,hbsd/src/sys/netinet6/icmp6.c,sys/netinet6,2912,DEFERRED,
b1482,hbsd/src/sys/netinet6/in6_mcast.c,sys/netinet6,2943,DEFERRED,
b1482,hbsd/src/sys/netinet6/ip6_output.c,sys/netinet6,3344,PENDING,
b1483,hbsd/src/usr.sbin/lpr/lpq/lpq.c,usr.sbin/lpr/lpq,183,PENDING,
b1484,hbsd/src/sys/netipsec/ipsec_mod.c,sys/netipsec,149,DEFERRED,
b1484,hbsd/src/sys/netipsec/ipsec_mbuf.c,sys/netipsec,340,PENDING,
b1484,hbsd/src/sys/netipsec/keysock.c,sys/netipsec,354,DEFERRED,
b1484,hbsd/src/sys/netipsec/udpencap.c,sys/netipsec,409,PENDING,
b1485,hbsd/src/usr.sbin/nfsd/nfsd.c,usr.sbin/nfsd,1400,PENDING,
b1486,hbsd/src/sys/netlink/route/iface.c,sys/netlink/route,1528,DEFERRED,
b1487,hbsd/src/usr.sbin/traceroute6/traceroute6.c,usr.sbin/traceroute6,1849,PENDING,
b1488,hbsd/src/usr.sbin/rpcbind/rpcbind.c,usr.sbin/rpcbind,941,PENDING,
b1488,hbsd/src/usr.sbin/rpcbind/rpcb_svc_com.c,usr.sbin/rpcbind,1489,PENDING,
b1489,hbsd/src/sys/netpfil/ipfw/dn_heap.c,sys/netpfil/ipfw,556,PENDING,
b1489,hbsd/src/sys/netpfil/ipfw/dn_sched_fq_codel.c,sys/netpfil/ipfw,615,DEFERRED,
b1489,hbsd/src/sys/netpfil/ipfw/ip_fw_pfil.c,sys/netpfil/ipfw,740,PENDING,
b1489,hbsd/src/sys/netpfil/ipfw/ip_fw_compat.c,sys/netpfil/ipfw,714,DEFERRED,
b1490,hbsd/src/sys/netpfil/pf/pf_syncookies.c,sys/netpfil/pf,520,PENDING,
b1490,hbsd/src/sys/netpfil/pf/pf_osfp.c,sys/netpfil/pf,525,DEFERRED,
b1490,hbsd/src/sys/netpfil/pf/pf_ruleset.c,sys/netpfil/pf,768,DEFERRED,
b1490,hbsd/src/sys/netpfil/pf/pf_if.c,sys/netpfil/pf,1190,DEFERRED,
b1491,hbsd/src/usr.sbin/rpc.lockd/test.c,usr.sbin/rpc.lockd,356,PENDING,
b1491,hbsd/src/usr.sbin/rpc.lockd/kern.c,usr.sbin/rpc.lockd,609,PENDING,
b1491,hbsd/src/usr.sbin/rpc.lockd/lockd.c,usr.sbin/rpc.lockd,912,PENDING,
b1491,hbsd/src/usr.sbin/rpc.lockd/lock_proc.c,usr.sbin/rpc.lockd,1328,PENDING,
b1492,hbsd/src/sys/netpfil/ipfw/ip_fw_table_value.c,sys/netpfil/ipfw,770,PENDING,
b1492,hbsd/src/sys/netpfil/ipfw/ip_fw_log.c,sys/netpfil/ipfw,766,PENDING,
b1492,hbsd/src/sys/netpfil/ipfw/dn_aqm_pie.c,sys/netpfil/ipfw,813,PENDING,
b1492,hbsd/src/sys/netpfil/ipfw/dn_sched_qfq.c,sys/netpfil/ipfw,885,PENDING,
b1493,hbsd/src/sys/netinet6/mld6.c,sys/netinet6,3331,DEFERRED,
b1494,hbsd/src/usr.sbin/rtadvd/config.c,usr.sbin/rtadvd,1637,DEFERRED,
b1494,hbsd/src/usr.sbin/rtadvd/rtadvd.c,usr.sbin/rtadvd,1910,DEFERRED,
b1495,hbsd/src/usr.sbin/virtual_oss/virtual_oss/virtual_oss.c,usr.sbin/virtual_oss/virtual_oss,908,DEFERRED,
b1495,hbsd/src/usr.sbin/virtual_oss/virtual_oss/main.c,usr.sbin/virtual_oss/virtual_oss,2683,DEFERRED,
b1496,hbsd/src/usr.sbin/pmcstudy/eval_expr.c,usr.sbin/pmcstudy,714,PENDING,
b1496,hbsd/src/usr.sbin/pmcstudy/pmcstudy.c,usr.sbin/pmcstudy,2953,DEFERRED,
b1497,hbsd/src/sys/netpfil/ipfilter/netinet/ip_lookup.c,sys/netpfil/ipfilter/netinet,933,PENDING,
b1497,hbsd/src/sys/netpfil/ipfilter/netinet/ip_fil_freebsd.c,sys/netpfil/ipfilter/netinet,1444,DEFERRED,
b1497,hbsd/src/sys/netpfil/ipfilter/netinet/ip_auth.c,sys/netpfil/ipfilter/netinet,1203,PENDING,
b1497,hbsd/src/sys/netpfil/ipfilter/netinet/ip_rpcb_pxy.c,sys/netpfil/ipfilter/netinet,1400,PENDING,
b1498,hbsd/src/usr.sbin/ppp/lcp.c,usr.sbin/ppp,1305,PENDING,
b1498,hbsd/src/usr.sbin/ppp/radius.c,usr.sbin/ppp,1361,PENDING,
b1498,hbsd/src/usr.sbin/ppp/datalink.c,usr.sbin/ppp,1478,PENDING,
b1498,hbsd/src/usr.sbin/ppp/ipcp.c,usr.sbin/ppp,1482,PENDING,
b1499,hbsd/src/usr.sbin/valectl/valectl.c,usr.sbin/valectl,444,PENDING,
b1500,hbsd/src/usr.sbin/rtsold/cap_llflags.c,usr.sbin/rtsold,160,PENDING,
b1500,hbsd/src/usr.sbin/rtsold/rtsock.c,usr.sbin/rtsold,176,PENDING,
b1500,hbsd/src/usr.sbin/rtsold/cap_script.c,usr.sbin/rtsold,235,PENDING,
b1500,hbsd/src/usr.sbin/rtsold/dump.c,usr.sbin/rtsold,202,DEFERRED,
b1501,hbsd/src/usr.sbin/rpc.statd/test.c,usr.sbin/rpc.statd,139,PENDING,
b1501,hbsd/src/usr.sbin/rpc.statd/file.c,usr.sbin/rpc.statd,367,DEFERRED,
b1501,hbsd/src/usr.sbin/rpc.statd/procs.c,usr.sbin/rpc.statd,437,PENDING,
b1501,hbsd/src/usr.sbin/rpc.statd/statd.c,usr.sbin/rpc.statd,664,PENDING,
b1502,hbsd/src/sys/netipsec/subr_ipsec.c,sys/netipsec,416,DEFERRED,
b1502,hbsd/src/sys/netipsec/xform_tcp.c,sys/netipsec,439,DEFERRED,
b1502,hbsd/src/sys/netipsec/ipsec_pcb.c,sys/netipsec,498,PENDING,
b1502,hbsd/src/sys/netipsec/ipsec_input.c,sys/netipsec,804,PENDING,
b1503,hbsd/src/usr.sbin/rpc.lockd/lockd_lock.c,usr.sbin/rpc.lockd,2278,DEFERRED,
